"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",600.352,"(559.83, 640.87)",369,"<0.001",NA
"2","SCQ_Pro_Score",-0.952,"(-3.99, 2.08)",267,"0.537",NA
"3","Cand_SexMale",42.543,"(9.11, 75.98)",267,"0.013",NA
"4","RiskGroupHR-ASD",16.518,"(-27.79, 60.83)",267,"0.464",NA
"5","RiskGroupHR-ASD:SCQ_Pro_Score",5.949,"(-2.57, 14.46)",267,"0.17",NA
"6","RiskGroupHR-ASD:AgeMRI",-1.635,"(-3.3, 0.03)",369,"0.055",NA
"7","SiteSEA",16.572,"(-31.42, 64.57)",267,"0.497",NA
"8","SiteSTL",7.743,"(-36.36, 51.84)",267,"0.73",NA
"9","SiteUNC",-12.762,"(-59.83, 34.31)",267,"0.594",NA
"10","AgeMRI",11.499,"(10.77, 12.22)",369,"<0.001",NA
