"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",1205.601,"(1155.82, 1255.38)",369,"<0.001",NA
"2","SCQ_Pro_Score",-0.227,"(-3.94, 3.49)",267,"0.905",NA
"3","Cand_SexMale",105.839,"(64.87, 146.81)",267,"<0.001",NA
"4","RiskGroupHR-ASD",51.067,"(-3.46, 105.59)",267,"0.066",NA
"5","RiskGroupHR-ASD:SCQ_Pro_Score",-3.581,"(-14.05, 6.88)",267,"0.501",NA
"6","RiskGroupHR-ASD:AgeMRI",-0.558,"(-3.05, 1.93)",369,"0.66",NA
"7","SiteSEA",-15.143,"(-73.93, 43.64)",267,"0.612",NA
"8","SiteSTL",35.381,"(-18.7, 89.46)",267,"0.199",NA
"9","SiteUNC",-10.619,"(-68.37, 47.13)",267,"0.718",NA
"10","AgeMRI",20.147,"(19.06, 21.24)",369,"<0.001",NA
