"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",756.648,"(711.06, 802.23)",367,"<0.001",NA
"2","SCQ_Pro_Score",-1.401,"(-4.83, 2.02)",267,"0.421",NA
"3","Cand_SexMale",50.74,"(13.19, 88.29)",267,"0.008",NA
"4","RiskGroupHR-ASD",1.044,"(-49.26, 51.34)",267,"0.967",NA
"5","RiskGroupHR-ASD:SCQ_Pro_Score",7.662,"(-1.99, 17.32)",267,"0.119",NA
"6","RiskGroupHR-ASD:AgeMRI",-0.419,"(-2.72, 1.88)",367,"0.721",NA
"7","SCQ_Pro_Score:AgeMRI",0.015,"(-0.15, 0.18)",367,"0.863",NA
"8","RiskGroupHR-ASD:SCQ_Pro_Score:AgeMRI",0.221,"(-0.24, 0.69)",367,"0.351",NA
"9","SiteSEA",-18.441,"(-72.32, 35.44)",267,"0.501",NA
"10","SiteSTL",-30.868,"(-80.42, 18.69)",267,"0.221",NA
"11","SiteUNC",-32.783,"(-85.69, 20.12)",267,"0.224",NA
"12","AgeMRI",12.464,"(11.53, 13.4)",367,"<0.001",NA
