"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",1197.77,"(1147.15, 1248.39)",367,"<0.001",NA
"2","SCQ_Pro_Score",-2.22,"(-6.14, 1.7)",267,"0.266",NA
"3","Cand_SexMale",108.848,"(67.41, 150.29)",267,"<0.001",NA
"4","RiskGroupHR-ASD",49.115,"(-8.56, 106.79)",267,"0.095",NA
"5","RiskGroupHR-ASD:SCQ_Pro_Score",-3.63,"(-14.73, 7.47)",267,"0.52",NA
"6","RiskGroupHR-ASD:AgeMRI",0.383,"(-2.04, 2.8)",367,"0.756",NA
"7","SCQ_Pro_Score:AgeMRI",0.123,"(-0.05, 0.3)",367,"0.174",NA
"8","RiskGroupHR-ASD:SCQ_Pro_Score:AgeMRI",0.023,"(-0.47, 0.52)",367,"0.927",NA
"9","SiteSEA",7.359,"(-52.16, 66.88)",267,"0.808",NA
"10","SiteSTL",25.04,"(-29.63, 79.71)",267,"0.368",NA
"11","SiteUNC",18.761,"(-39.63, 77.15)",267,"0.528",NA
"12","AgeMRI",19.067,"(18.09, 20.04)",367,"<0.001",NA
