"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","ADIR_Pro_C_Tot",-0.00012,"(-0.0012, 0.001)",300,"0.839",NA
"2","Cand_SexMale",-0.00103,"(-0.0063, 0.0043)",300,"0.703",NA
"3","RiskGroupHR-ASD",-0.0101,"(-0.027, 0.0068)",300,"0.239",NA
"4","RiskGroupHR-ASD:ADIR_Pro_C_Tot",0.00196,"(-5e-04, 0.0045)",300,"0.122",NA
