"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",641.904,"(601.98, 681.83)",369,"<0.001",NA
"2","SCQ_Pro_Score",-0.77,"(-3.74, 2.2)",267,"0.611",NA
"3","Cand_SexMale",57.514,"(24.72, 90.31)",267,"<0.001",NA
"4","RiskGroupHR-ASD",56.097,"(11.37, 100.82)",267,"0.014",NA
"5","RiskGroupHR-ASD:SCQ_Pro_Score",10.882,"(2.56, 19.21)",267,"0.011",NA
"6","RiskGroupHR-ASD:AgeMRI",-0.613,"(-2.39, 1.17)",369,"0.499",NA
"7","SiteSEA",-2.645,"(-49.71, 44.42)",267,"0.912",NA
"8","SiteSTL",7.27,"(-35.98, 50.52)",267,"0.741",NA
"9","SiteUNC",11.939,"(-34.24, 58.12)",267,"0.611",NA
"10","AgeMRI",8.682,"(7.91, 9.45)",369,"<0.001",NA
