"","Variable","Estimate","CI_95","DF","p_value"
"1","(Intercept)",1084.403,"(1006.35, 1162.46)",444,"<0.001"
"2","RiskGroupHR-Neg",-49.087,"(-124.04, 25.86)",342,"0.199"
"3","RiskGroupHR-ASD",5.751,"(-96.75, 108.25)",342,"0.912"
"4","SiteSEA",28.967,"(-21.77, 79.71)",342,"0.262"
"5","SiteSTL",3.357,"(-45.1, 51.81)",342,"0.892"
"6","SiteUNC",22.351,"(-26.15, 70.85)",342,"0.365"
"7","Cand_SexMale",77.78,"(42.45, 113.11)",342,"<0.001"
"8","AgeMRI",12.901,"(8.87, 16.94)",444,"<0.001"
"9","CSBS_EyeGaze_V24",6.285,"(-12.17, 24.74)",342,"0.503"
"10","V06_V12_ind",-24.97,"(-86.78, 36.84)",444,"0.428"
"11","V12_V24_ind",19.97,"(-46.36, 86.3)",444,"0.554"
"12","V24_plus_ind",-14.428,"(-112.88, 84.03)",444,"0.773"
"13","CSBS_EyeGaze_V24:V06_V12_ind",-11.044,"(-28.29, 6.2)",444,"0.209"
"14","CSBS_EyeGaze_V24:V12_V24_ind",-12.24,"(-29.14, 4.65)",444,"0.155"
"15","CSBS_EyeGaze_V24:V24_plus_ind",-8.819,"(-25.88, 8.24)",444,"0.31"
"16","RiskGroupHR-ASD:CSBS_EyeGaze_V24",0.412,"(-24.02, 24.84)",342,"0.974"
"17","RiskGroupHR-Neg:CSBS_EyeGaze_V24",-10.884,"(-31.1, 9.34)",342,"0.29"
"18","RiskGroupHR-ASD:V06_V12_ind",27.397,"(-55.92, 110.71)",444,"0.518"
"19","RiskGroupHR-Neg:V06_V12_ind",50.885,"(-16.41, 118.18)",444,"0.138"
"20","RiskGroupHR-ASD:V12_V24_ind",30.004,"(-56.12, 116.12)",444,"0.494"
"21","RiskGroupHR-Neg:V12_V24_ind",17.5,"(-55.45, 90.45)",444,"0.638"
"22","RiskGroupHR-ASD:V24_plus_ind",45.009,"(-101.58, 191.59)",444,"0.547"
"23","RiskGroupHR-Neg:V24_plus_ind",-22.309,"(-133.49, 88.87)",444,"0.694"
"24","RiskGroupHR-ASD:AgeMRI",-1.832,"(-8.24, 4.58)",444,"0.575"
"25","RiskGroupHR-Neg:AgeMRI",3.744,"(-0.91, 8.4)",444,"0.115"
"26","RiskGroupHR-ASD:CSBS_EyeGaze_V24:V06_V12_ind",16.193,"(-4.31, 36.7)",444,"0.121"
"27","RiskGroupHR-Neg:CSBS_EyeGaze_V24:V06_V12_ind",12.033,"(-6.34, 30.41)",444,"0.199"
"28","RiskGroupHR-ASD:CSBS_EyeGaze_V24:V12_V24_ind",15.672,"(-2.85, 34.19)",444,"0.097"
"29","RiskGroupHR-Neg:CSBS_EyeGaze_V24:V12_V24_ind",13.754,"(-4.29, 31.8)",444,"0.135"
"30","RiskGroupHR-ASD:CSBS_EyeGaze_V24:V24_plus_ind",2.285,"(-18.41, 22.98)",444,"0.828"
"31","RiskGroupHR-Neg:CSBS_EyeGaze_V24:V24_plus_ind",12.045,"(-6.54, 30.63)",444,"0.203"
