"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",1697.077,"(1598.56, 1795.59)",369,"<0.001",NA
"2","SCQ_Pro_Score",-2.857,"(-10.2, 4.49)",267,"0.444",NA
"3","Cand_SexMale",198.675,"(117.6, 279.75)",267,"<0.001",NA
"4","RiskGroupHR-ASD",81.229,"(-28.22, 190.68)",267,"0.145",NA
"5","RiskGroupHR-ASD:SCQ_Pro_Score",18.777,"(-1.84, 39.39)",267,"0.074",NA
"6","RiskGroupHR-ASD:AgeMRI",4.029,"(-0.71, 8.77)",369,"0.096",NA
"7","SiteSEA",-9.572,"(-125.88, 106.73)",267,"0.871",NA
"8","SiteSTL",36.647,"(-70.3, 143.6)",267,"0.5",NA
"9","SiteUNC",27.212,"(-86.95, 141.37)",267,"0.639",NA
"10","AgeMRI",43.653,"(41.59, 45.71)",369,"<0.001",NA
