"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",1121.329,"(836.11, 1406.54)",324,"<0.001",NA
"2","SCQ_Pro_Score",-5.166,"(-11.39, 1.06)",233,"0.104",NA
"3","VABS_Pro_ABC_SS",0.929,"(-1.78, 3.63)",233,"0.499",NA
"4","Cand_SexMale",148.78,"(83.37, 214.19)",233,"<0.001",NA
"5","RiskGroupHR-ASD",-486.094,"(-1262.64, 290.45)",233,"0.219",NA
"6","RiskGroupHR-ASD:SCQ_Pro_Score",24.397,"(7.03, 41.77)",233,"0.006",NA
"7","RiskGroupHR-ASD:AgeMRI",1.166,"(-2.51, 4.84)",324,"0.533",NA
"8","RiskGroupHR-ASD:VABS_Pro_ABC_SS",-1.56,"(-9.38, 6.27)",233,"0.695",NA
"9","SiteSEA",-2.48,"(-99.09, 94.13)",233,"0.96",NA
"10","SiteSTL",-26.757,"(-113.34, 59.82)",233,"0.543",NA
"11","SiteUNC",-19.709,"(-115.47, 76.05)",233,"0.685",NA
"12","AgeMRI",25.131,"(23.59, 26.67)",324,"<0.001",NA
