"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",635.22,"(583.87, 686.57)",367,"<0.001",NA
"2","SCQ_Pro_Score",-0.429,"(-4.36, 3.5)",267,"0.83",NA
"3","Cand_SexMale",84.04,"(41.9, 126.18)",267,"<0.001",NA
"4","RiskGroupHR-ASD",0.951,"(-57.07, 58.97)",267,"0.974",NA
"5","RiskGroupHR-ASD:SCQ_Pro_Score",1.889,"(-9.22, 13)",267,"0.738",NA
"6","RiskGroupHR-ASD:AgeMRI",-0.693,"(-3.66, 2.28)",367,"0.647",NA
"7","SCQ_Pro_Score:AgeMRI",0.039,"(-0.18, 0.25)",367,"0.719",NA
"8","RiskGroupHR-ASD:SCQ_Pro_Score:AgeMRI",0.167,"(-0.43, 0.76)",367,"0.58",NA
"9","SiteSEA",-14.197,"(-74.63, 46.24)",267,"0.644",NA
"10","SiteSTL",27.008,"(-28.6, 82.61)",267,"0.34",NA
"11","SiteUNC",18.004,"(-41.35, 77.36)",267,"0.551",NA
"12","AgeMRI",21.626,"(20.42, 22.83)",367,"<0.001",NA
