"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",1093.899,"(906.87, 1280.92)",324,"<0.001",NA
"2","SCQ_Pro_Score",-0.638,"(-4.7, 3.42)",233,"0.757",NA
"3","VABS_Pro_ABC_SS",-1.148,"(-2.92, 0.63)",233,"0.204",NA
"4","Cand_SexMale",91.728,"(49, 134.46)",233,"<0.001",NA
"5","RiskGroupHR-ASD",-188.14,"(-698.04, 321.76)",233,"0.468",NA
"6","RiskGroupHR-ASD:SCQ_Pro_Score",7.051,"(-4.26, 18.36)",233,"0.22",NA
"7","RiskGroupHR-ASD:AgeMRI",0.822,"(-1.21, 2.85)",324,"0.426",NA
"8","RiskGroupHR-ASD:VABS_Pro_ABC_SS",0.158,"(-4.99, 5.3)",233,"0.952",NA
"9","SiteSEA",27.294,"(-35.85, 90.44)",233,"0.395",NA
"10","SiteSTL",3.436,"(-53.1, 59.98)",233,"0.905",NA
"11","SiteUNC",13.963,"(-48.55, 76.48)",233,"0.66",NA
"12","AgeMRI",13.252,"(12.4, 14.1)",324,"<0.001",NA
