"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",1513.327,"(1421.61, 1605.04)",367,"<0.001",NA
"2","SCQ_Pro_Score",1.343,"(-5.57, 8.25)",267,"0.702",NA
"3","Cand_SexMale",138.354,"(62.83, 213.88)",267,"<0.001",NA
"4","RiskGroupHR-ASD",-23.832,"(-124.55, 76.89)",267,"0.642",NA
"5","RiskGroupHR-ASD:SCQ_Pro_Score",8.199,"(-11.18, 27.58)",267,"0.406",NA
"6","RiskGroupHR-ASD:AgeMRI",1.779,"(-2.17, 5.73)",367,"0.376",NA
"7","SCQ_Pro_Score:AgeMRI",-0.01,"(-0.3, 0.28)",367,"0.945",NA
"8","RiskGroupHR-ASD:SCQ_Pro_Score:AgeMRI",0.348,"(-0.46, 1.16)",367,"0.397",NA
"9","SiteSEA",-15.109,"(-123.58, 93.36)",267,"0.784",NA
"10","SiteSTL",-16.164,"(-115.71, 83.38)",267,"0.749",NA
"11","SiteUNC",34.96,"(-71.34, 141.26)",267,"0.518",NA
"12","AgeMRI",31.255,"(29.65, 32.85)",367,"<0.001",NA
