"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",1225.82,"(1151.3, 1300.34)",367,"<0.001",NA
"2","SCQ_Pro_Score",-6.398,"(-11.97, -0.83)",267,"0.025",NA
"3","Cand_SexMale",137.249,"(75.87, 198.63)",267,"<0.001",NA
"4","RiskGroupHR-ASD",-54.68,"(-136.27, 26.91)",267,"0.188",NA
"5","RiskGroupHR-ASD:SCQ_Pro_Score",26.518,"(10.82, 42.21)",267,"0.001",NA
"6","RiskGroupHR-ASD:AgeMRI",-0.477,"(-4.12, 3.16)",367,"0.797",NA
"7","SCQ_Pro_Score:AgeMRI",0.087,"(-0.18, 0.36)",367,"0.528",NA
"8","RiskGroupHR-ASD:SCQ_Pro_Score:AgeMRI",0.207,"(-0.54, 0.95)",367,"0.585",NA
"9","SiteSEA",6.57,"(-81.54, 94.68)",267,"0.883",NA
"10","SiteSTL",-7.125,"(-88.12, 73.87)",267,"0.863",NA
"11","SiteUNC",-11.86,"(-98.37, 74.65)",267,"0.787",NA
"12","AgeMRI",25.202,"(23.73, 26.68)",367,"<0.001",NA
