"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",757.63,"(712.65, 802.61)",369,"<0.001",NA
"2","SCQ_Pro_Score",-1.357,"(-4.75, 2.04)",268,"0.432",NA
"3","Cand_SexMale",50.521,"(13.16, 87.89)",268,"0.008",NA
"4","RiskGroupHR-ASD",-1.503,"(-51.5, 48.5)",268,"0.953",NA
"5","RiskGroupHR-ASD:SCQ_Pro_Score",8.342,"(-1.2, 17.88)",268,"0.086",NA
"6","RiskGroupHR-ASD:AgeMRI",0.057,"(-2.07, 2.18)",369,"0.958",NA
"7","SiteSEA",-19.082,"(-72.64, 34.47)",268,"0.484",NA
"8","SiteSTL",-31.822,"(-81.01, 17.37)",268,"0.204",NA
"9","SiteUNC",-33.778,"(-86.33, 18.78)",268,"0.207",NA
"10","AgeMRI",12.458,"(11.53, 13.38)",369,"<0.001",NA
