"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",1231.181,"(1179.59, 1282.77)",367,"<0.001",NA
"2","SCQ_Pro_Score",0.682,"(-3.21, 4.57)",267,"0.73",NA
"3","Cand_SexMale",74.692,"(32.24, 117.15)",267,"<0.001",NA
"4","RiskGroupHR-ASD",23.319,"(-33.87, 80.51)",267,"0.423",NA
"5","RiskGroupHR-ASD:SCQ_Pro_Score",5.99,"(-4.99, 16.97)",267,"0.284",NA
"6","RiskGroupHR-ASD:AgeMRI",-0.536,"(-3.18, 2.1)",367,"0.69",NA
"7","SCQ_Pro_Score:AgeMRI",0.021,"(-0.17, 0.21)",367,"0.834",NA
"8","RiskGroupHR-ASD:SCQ_Pro_Score:AgeMRI",0.025,"(-0.51, 0.56)",367,"0.927",NA
"9","SiteSEA",44.05,"(-16.87, 104.97)",267,"0.156",NA
"10","SiteSTL",-36.186,"(-92.22, 19.85)",267,"0.205",NA
"11","SiteUNC",-13.318,"(-73.15, 46.52)",267,"0.662",NA
"12","AgeMRI",15.492,"(14.42, 16.56)",367,"<0.001",NA
