"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",635.579,"(584.21, 686.95)",369,"<0.001",NA
"2","SCQ_Pro_Score",-0.253,"(-4.07, 3.57)",267,"0.896",NA
"3","Cand_SexMale",84.149,"(41.98, 126.32)",267,"<0.001",NA
"4","RiskGroupHR-ASD",-2.015,"(-59.58, 55.55)",267,"0.945",NA
"5","RiskGroupHR-ASD:SCQ_Pro_Score",2.761,"(-7.97, 13.49)",267,"0.613",NA
"6","RiskGroupHR-ASD:AgeMRI",-0.259,"(-3.01, 2.49)",369,"0.853",NA
"7","SiteSEA",-14.421,"(-74.9, 46.06)",267,"0.639",NA
"8","SiteSTL",26.505,"(-29.13, 82.14)",267,"0.349",NA
"9","SiteUNC",17.411,"(-41.98, 76.8)",267,"0.564",NA
"10","AgeMRI",21.61,"(20.42, 22.8)",369,"<0.001",NA
