"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",1226.628,"(1152.15, 1301.1)",369,"<0.001",NA
"2","SCQ_Pro_Score",-6.369,"(-11.94, -0.8)",267,"0.025",NA
"3","Cand_SexMale",137.273,"(75.91, 198.63)",267,"<0.001",NA
"4","RiskGroupHR-ASD",-56.767,"(-138.19, 24.66)",267,"0.171",NA
"5","RiskGroupHR-ASD:SCQ_Pro_Score",26.821,"(11.15, 42.5)",267,"<0.001",NA
"6","RiskGroupHR-ASD:AgeMRI",0.143,"(-3.21, 3.5)",369,"0.933",NA
"7","SiteSEA",5.894,"(-82.17, 93.95)",267,"0.895",NA
"8","SiteSTL",-8.002,"(-88.95, 72.95)",267,"0.846",NA
"9","SiteUNC",-13.116,"(-99.56, 73.33)",267,"0.765",NA
"10","AgeMRI",25.161,"(23.69, 26.63)",369,"<0.001",NA
