"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",600.322,"(559.8, 640.84)",367,"<0.001",NA
"2","SCQ_Pro_Score",-0.959,"(-3.99, 2.07)",267,"0.534",NA
"3","Cand_SexMale",42.336,"(8.91, 75.77)",267,"0.013",NA
"4","RiskGroupHR-ASD",18.218,"(-26.14, 62.57)",267,"0.419",NA
"5","RiskGroupHR-ASD:SCQ_Pro_Score",5.728,"(-2.79, 14.25)",267,"0.187",NA
"6","RiskGroupHR-ASD:AgeMRI",-2.122,"(-3.92, -0.32)",367,"0.021",NA
"7","SCQ_Pro_Score:AgeMRI",0.008,"(-0.12, 0.14)",367,"0.9",NA
"8","RiskGroupHR-ASD:SCQ_Pro_Score:AgeMRI",0.233,"(-0.13, 0.6)",367,"0.207",NA
"9","SiteSEA",16.458,"(-31.54, 64.45)",267,"0.5",NA
"10","SiteSTL",7.948,"(-36.15, 52.04)",267,"0.723",NA
"11","SiteUNC",-12.373,"(-59.44, 34.7)",267,"0.605",NA
"12","AgeMRI",11.502,"(10.78, 12.23)",367,"<0.001",NA
