"","Variable","Estimate","CI_95","DF","p_value"
"1","RiskGroupHR-Neg",-227.866,"(-411.58, -44.15)",342,"0.015"
"2","RiskGroupHR-ASD",-43.301,"(-283.87, 197.27)",342,"0.724"
"3","Cand_SexMale",138.497,"(64.08, 212.91)",342,"<0.001"
"4","CSBS_EyeGaze_V24",16.82,"(-28.59, 62.23)",342,"0.467"
"5","V06_V12_ind",-137.855,"(-296.39, 20.68)",444,"0.088"
"6","V12_V24_ind",-47.907,"(-218.12, 122.3)",444,"0.58"
"7","V24_plus_ind",130.579,"(-121.97, 383.13)",444,"0.31"
"8","CSBS_EyeGaze_V24:V06_V12_ind",-21.843,"(-66.06, 22.38)",444,"0.332"
"9","CSBS_EyeGaze_V24:V12_V24_ind",-23.231,"(-66.55, 20.08)",444,"0.292"
"10","CSBS_EyeGaze_V24:V24_plus_ind",-12.256,"(-56.04, 31.52)",444,"0.582"
"11","RiskGroupHR-ASD:CSBS_EyeGaze_V24",-22.716,"(-80.2, 34.77)",342,"0.438"
"12","RiskGroupHR-Neg:CSBS_EyeGaze_V24",-13.988,"(-63.46, 35.48)",342,"0.578"
"13","RiskGroupHR-ASD:V06_V12_ind",148.745,"(-65.02, 362.51)",444,"0.172"
"14","RiskGroupHR-Neg:V06_V12_ind",153.081,"(-19.57, 325.73)",444,"0.082"
"15","RiskGroupHR-ASD:V12_V24_ind",93.83,"(-127.31, 314.97)",444,"0.405"
"16","RiskGroupHR-Neg:V12_V24_ind",67.075,"(-120.12, 254.27)",444,"0.482"
"17","RiskGroupHR-ASD:V24_plus_ind",-26.409,"(-402.85, 350.03)",444,"0.89"
"18","RiskGroupHR-Neg:V24_plus_ind",-99.123,"(-384.23, 185.98)",444,"0.495"
"19","RiskGroupHR-ASD:CSBS_EyeGaze_V24:V06_V12_ind",27.52,"(-25.07, 80.11)",444,"0.304"
"20","RiskGroupHR-Neg:CSBS_EyeGaze_V24:V06_V12_ind",19.566,"(-27.56, 66.69)",444,"0.415"
"21","RiskGroupHR-ASD:CSBS_EyeGaze_V24:V12_V24_ind",27.761,"(-19.72, 75.24)",444,"0.251"
"22","RiskGroupHR-Neg:CSBS_EyeGaze_V24:V12_V24_ind",22.229,"(-24.03, 68.49)",444,"0.345"
"23","RiskGroupHR-ASD:CSBS_EyeGaze_V24:V24_plus_ind",8.203,"(-44.84, 61.25)",444,"0.761"
"24","RiskGroupHR-Neg:CSBS_EyeGaze_V24:V24_plus_ind",7.486,"(-40.2, 55.17)",444,"0.758"
