"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",1087.363,"(1040.21, 1134.52)",369,"<0.001",NA
"2","SCQ_Pro_Score",1.905,"(-1.62, 5.43)",267,"0.288",NA
"3","Cand_SexMale",83.145,"(44.29, 122)",267,"<0.001",NA
"4","RiskGroupHR-ASD",-21.744,"(-73.65, 30.17)",267,"0.41",NA
"5","RiskGroupHR-ASD:SCQ_Pro_Score",6.674,"(-3.2, 16.55)",267,"0.184",NA
"6","RiskGroupHR-ASD:AgeMRI",0.391,"(-1.56, 2.34)",369,"0.693",NA
"7","SiteSEA",27.956,"(-27.82, 83.73)",267,"0.325",NA
"8","SiteSTL",-11.46,"(-62.73, 39.81)",267,"0.66",NA
"9","SiteUNC",14.398,"(-40.35, 69.14)",267,"0.605",NA
"10","AgeMRI",13.284,"(12.44, 14.13)",369,"<0.001",NA
