"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",641.68,"(601.74, 681.62)",367,"<0.001",NA
"2","SCQ_Pro_Score",-1.116,"(-4.19, 1.96)",267,"0.475",NA
"3","Cand_SexMale",57.614,"(24.82, 90.41)",267,"<0.001",NA
"4","RiskGroupHR-ASD",54.069,"(8.89, 99.24)",267,"0.019",NA
"5","RiskGroupHR-ASD:SCQ_Pro_Score",12.027,"(3.36, 20.69)",267,"0.007",NA
"6","RiskGroupHR-ASD:AgeMRI",-0.378,"(-2.31, 1.55)",367,"0.7",NA
"7","SCQ_Pro_Score:AgeMRI",0.064,"(-0.07, 0.2)",367,"0.364",NA
"8","RiskGroupHR-ASD:SCQ_Pro_Score:AgeMRI",-0.192,"(-0.58, 0.19)",367,"0.326",NA
"9","SiteSEA",-2.425,"(-49.5, 44.65)",267,"0.919",NA
"10","SiteSTL",7.232,"(-36.03, 50.5)",267,"0.742",NA
"11","SiteUNC",11.89,"(-34.3, 58.08)",267,"0.613",NA
"12","AgeMRI",8.709,"(7.93, 9.48)",367,"<0.001",NA
