"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",1087.245,"(1040.14, 1134.35)",367,"<0.001",NA
"2","SCQ_Pro_Score",1.934,"(-1.62, 5.49)",267,"0.285",NA
"3","Cand_SexMale",83,"(44.19, 121.81)",267,"<0.001",NA
"4","RiskGroupHR-ASD",-18.464,"(-70.57, 33.64)",267,"0.486",NA
"5","RiskGroupHR-ASD:SCQ_Pro_Score",5.581,"(-4.43, 15.59)",267,"0.273",NA
"6","RiskGroupHR-ASD:AgeMRI",-0.121,"(-2.24, 1.99)",367,"0.911",NA
"7","SCQ_Pro_Score:AgeMRI",-0.01,"(-0.16, 0.14)",367,"0.901",NA
"8","RiskGroupHR-ASD:SCQ_Pro_Score:AgeMRI",0.263,"(-0.17, 0.69)",367,"0.229",NA
"9","SiteSEA",27.982,"(-27.72, 83.69)",267,"0.324",NA
"10","SiteSTL",-11.083,"(-62.29, 40.13)",267,"0.67",NA
"11","SiteUNC",14.825,"(-39.86, 69.51)",267,"0.594",NA
"12","AgeMRI",13.28,"(12.43, 14.13)",367,"<0.001",NA
