"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",1231.377,"(1179.81, 1282.94)",369,"<0.001",NA
"2","SCQ_Pro_Score",0.746,"(-3.1, 4.59)",267,"0.703",NA
"3","Cand_SexMale",74.657,"(32.21, 117.11)",267,"<0.001",NA
"4","RiskGroupHR-ASD",22.764,"(-34.1, 79.63)",267,"0.431",NA
"5","RiskGroupHR-ASD:SCQ_Pro_Score",6.101,"(-4.7, 16.9)",267,"0.267",NA
"6","RiskGroupHR-ASD:AgeMRI",-0.435,"(-2.87, 2)",369,"0.725",NA
"7","SiteSEA",43.872,"(-17.04, 104.78)",267,"0.157",NA
"8","SiteSTL",-36.363,"(-92.38, 19.66)",267,"0.202",NA
"9","SiteUNC",-13.546,"(-73.36, 46.27)",267,"0.656",NA
"10","AgeMRI",15.482,"(14.42, 16.54)",369,"<0.001",NA
