"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",1205.587,"(1155.85, 1255.32)",367,"<0.001",NA
"2","SCQ_Pro_Score",-0.187,"(-3.91, 3.53)",267,"0.921",NA
"3","Cand_SexMale",105.72,"(64.8, 146.64)",267,"<0.001",NA
"4","RiskGroupHR-ASD",54.689,"(0.07, 109.31)",267,"0.05",NA
"5","RiskGroupHR-ASD:SCQ_Pro_Score",-4.532,"(-15.04, 5.97)",267,"0.396",NA
"6","RiskGroupHR-ASD:AgeMRI",-1.442,"(-4.13, 1.25)",367,"0.293",NA
"7","SCQ_Pro_Score:AgeMRI",-0.037,"(-0.24, 0.16)",367,"0.718",NA
"8","RiskGroupHR-ASD:SCQ_Pro_Score:AgeMRI",0.494,"(-0.06, 1.05)",367,"0.079",NA
"9","SiteSEA",-15.415,"(-74.13, 43.3)",267,"0.606",NA
"10","SiteSTL",35.617,"(-18.4, 89.63)",267,"0.195",NA
"11","SiteUNC",-10.051,"(-67.75, 47.64)",267,"0.732",NA
"12","AgeMRI",20.131,"(19.04, 21.22)",367,"<0.001",NA
